question,answer
"What is the primary objective of the CSS Animation Generation Ruleset?", "To guide AI agents in generating high-quality performant accessible and user-centric CSS animations adhering to best practices for every animation generated."
"What CSS properties should be prioritized for animation to ensure smooth performance?", "Always favor animating `transform` properties (translate scale rotate) and `opacity`. These are hardware-accelerated."
"Why should you avoid animating properties that cause layout reflow?", "Animating properties like `width`, `height`, `margin`, or `padding` causes layout reflow which leads to performance bottlenecks and jank by triggering browser layout recalculations. Minimize these."
"When should you use the `will-change` property?", "Use `will-change` sparingly and only when profiling identifies a clear performance benefit. Target specific `transform` or `opacity` properties. Overuse is detrimental."
"How should you handle animations for users who prefer reduced motion?", "Always include a `@media (prefers-reduced-motion: reduce)` block to disable animations and transitions for users who have specified this preference. Use `animation: none !important;` and `transition: none !important;`."
"What types of animations should be absolutely avoided for accessibility reasons?", "Never generate animations with rapid flashing or strobing effects. These can trigger seizures."
"What are the guidelines for animation duration and motion?", "Keep animation durations moderate and motion smooth. Avoid extremely short or long animations. Favor gradual eased motion."
"Should animations be purely decorative?", "No. Ensure all animations are meaningful and serve a clear purpose to enhance user experience (UI feedback guidance visual hierarchy). Avoid purely decorative animations that are distracting or confusing."
"How do you ensure animations don't interfere with keyboard navigation?", "Animations must never interfere with keyboard navigation or focus states. Interactive elements must remain fully keyboard accessible."
"What is the role of easing functions in CSS animations?", "Utilize `animation-timing-function` and `cubic-bezier()` extensively to create natural engaging and appropriate motion. Avoid `linear` easing in most cases."
"What kind of animations are recommended for UI feedback and micro-interactions?", "Favor subtle and refined animations. Small quick animations are often more effective and less distracting."
"How can animation contribute to visual storytelling (when appropriate)?", "Consider how animation can guide user attention and enhance visual hierarchy. But prioritize clarity and purpose."
"How should you organize `@keyframes` and animation styles in your CSS?", "Group `@keyframes` rules and related animation styles together. Use clear and descriptive names."
"How can you leverage CSS variables for animation reusability?", "Use CSS variables to manage animation durations easing curves colors or other parameters that might be reused or themed."
"When should you consider using JavaScript for animation control?", "Use JavaScript for dynamic control over animations and for complex interactive scenarios. Rely on CSS Animations for core animation logic and performance."
"What is the purpose of the @charset at-rule and when is it needed?","`@charset` Specifies the character encoding used in the stylesheet. Rarely needed as UTF-8 is recommended; if so `@charset` is often implicitly assumed."
"Where should @import rules be placed in a stylesheet and why is using <link> often preferred?","Place `@import` rules at the very top before any other rules except `@charset`.  `<link>` elements in HTML are preferred for better performance due to parallel loading."
"When should you use @media at-rules and what are some best practices?","Use `@media` for responsive design print styles or adjustments based on user preferences. Use relevant media features like `min-width` `max-width` `orientation` `prefers-reduced-motion`. Prefer a mobile-first approach."
"What is the purpose of the @font-face at-rule and what are some best practices?","`@font-face` allows you to embed custom fonts. Provide font files in multiple formats (woff2 woff ttf eot). Optimize font files and consider font loading strategies."
"How do you define animation sequences in CSS and what are some accessibility best practices?","Define animation sequences using `@keyframes`. Keep animations performant; respect user preferences (`prefers-reduced-motion`); avoid excessive animations."
"What is the purpose of the @supports at-rule and how is it used for progressive enhancement?","`@supports` conditionally applies styles if the browser supports specific CSS features. Define default styles outside `@supports` for broad compatibility; use `@supports` to enhance for supporting browsers."
"What are container queries (@container) and when would you use them?","`@container` applies styles based on the size or style of a *container* element not viewport size. Use for component-level responsiveness."
"How should viewport properties be set for mobile responsiveness in modern web development?","Prefer using the `<meta name=\"viewport\">` tag in HTML for standard viewport settings. Use CSS viewport units (vw vh vmin vmax) for sizing."
"What is the purpose of the @counter-style at-rule?","Defines custom counter styles for CSS list markers and generated content counters allowing for complex and visually unique list numbering or lettering."
"Describe the @page at-rule and its use for print stylesheets.","Defines styles specifically for paged media primarily when printing. Controls page margins size headers/footers and page breaks for printed output. Used in conjunction with `@media print`."
"When is the @namespace at-rule typically used?","Declares XML namespaces to be used in a stylesheet. Less common in typical HTML-centric development; sometimes used with SVG."
"What are CSS Cascade Layers (@layer) and how do they help manage specificity?","`@layer` allows you to create explicit cascade layers to control CSS specificity and organize styles. Styles in later-declared layers have higher precedence regardless of selector specificity *within* each layer."
"What are the core concepts you must always understand in CSS?","Selectors Specificity Box Model Layout."
"Describe best practices when working with CSS Specificity?","Always know how CSS specificity rules work. Avoid conflicts by:\n- Using the least specific selectors necessary.\n- Reducing over-qualification and avoiding inline styles unless absolutely necessary."
"What modern layout techniques should always be implemented?", "Flexbox: For one-dimensional layouts.\nCSS Grid: For two-dimensional layouts.\nFloats and positioning: Only when appropriate."
"What are some intermediate CSS skills?", "Responsive Design CSS Variables (Custom Properties) Animations and Transitions Preprocessors (Sass/SCSS)."
"What should CSS variables always be used for?", "Use CSS variables to manage themes and maintain consistency. They must be used for colors font sizes spacing and other common values."
"How can preprocessors like Sass/SCSS enhance CSS development?", "Variables for centralizing design values.\nMixins for reusable code snippets (e.g. vendor prefixes complex property groups).\nFunctions for complex calculations.\nNesting should be used sparingly."
"What are some advanced CSS skills related to performance optimization?", "Minimize the use of `!important`.\nReduce unnecessary specificity.\nAlways use efficient selectors."
"How should CSS contribute to accessible web experiences?", "Use high contrast and scalable units.\nAvoid layout shifts that can confuse screen readers.\nAlways define clear focus styles for interactive elements."
"How should you structure CSS for scalability and maintainability?", "Follow methodologies like BEM OOCSS or SMACSS.\nAlways use meaningful class names and avoid inline styles.\nOrganize your code into logical sections (layout typography components utilities)."
"What are some key Angular-specific CSS best practices?", "Use the `:host` selector to style the component's host element.\nNever use deprecated selectors such as `::ng-deep` or `/deep/`.\nUse `ViewEncapsulation.None` only with caution."
