question,answer
"What is the primary objective of the HTML Global Attribute Generation Ruleset?", "To guide AI agents in appropriately and effectively utilizing HTML global attributes when generating HTML markup emphasizing semantic correctness accessibility maintainability and responsible attribute usage."
"What is the core principle regarding the use of global attributes in HTML?", "Always use global attributes to enhance the *meaning* and *functionality* of HTML elements not solely for styling."
"What is a fundamental consideration when using global attributes?", "Prioritize accessibility-related global attributes (ARIA attributes `role` `tabindex` `lang` `title`)."
"How should you approach the use of global attributes for maintainability and readability?", "Use global attributes judiciously and with clear intent. Overuse or misuse can make HTML verbose."
"What are the potential performance implications of using event handler attributes?", "Be mindful of potential performance implications when using event handler attributes (e.g. `onclick`). Prefer JavaScript event listeners."
"How can you ensure that global attributes are used validly?", "Ensure that global attributes are used validly according to HTML standards and within the correct context."
"When should you use the `id` attribute?", "Use `id` attributes sparingly and primarily for *unique identification within a page*."
"What are the best practices for using `id` attributes?", "Uniqueness: `id` values must be unique. Descriptive: `id` values should be descriptive. Avoid Styling Hooks Primarily. JavaScript Hook (Primary Use)"
"When should you use the `class` attribute?", "Use `class` attributes extensively for applying CSS styles and for semantic or functional grouping."
"What are the best practices for using `class` attributes?", "Descriptive Class Names. Reusability. Multiple Classes. Semantic Grouping (Beyond Styling)"
"When should you use the `style` attribute (inline styles)?", "Avoid `style` attributes for general styling. Reserve for dynamic styles applied by JavaScript or very specific one-off overrides."
"What are the best practices and considerations when using the `style` attribute?", "Maintainability Issues. Specificity Issues. External CSS Preferred"
"When should you use the `title` attribute?", "Use `title` attributes to provide supplementary information or tooltips for elements on mouse hover."
"What are the best practices and considerations when using the `title` attribute?", "Conciseness. Accessibility Consideration. Contextual Help or Clarification. Avoid Redundancy"
"When should you use the `role` attribute (ARIA role)?", "Use `role` attributes to enhance semantic meaning and accessibility primarily for custom UI components or where semantic HTML is insufficient."
"What are the best practices for using the `role` attribute?", "ARIA Landmark Roles. Widget Roles. Follow ARIA Guidelines. Semantic HTML Preference"
"When should you use `aria-*` attributes (ARIA states and properties)?", "Use `aria-*` attributes in conjunction with `role` or on semantic HTML to convey state properties and relationships to assistive technologies."
"What are the best practices for using `aria-*` attributes?", "Dynamic Content and UI. Common ARIA Attributes. JavaScript Dynamic Updates. State & Relationship Conveyance. Careful Implementation & Testing"
"When should you use the `tabindex` attribute?", "Use `tabindex` attribute to control the keyboard focus order or to make normally non-focusable elements keyboard focusable."
"What are the best practices for using the `tabindex` attribute?", "`tabindex=\"0\"` (Make Element Focusable and Add to Natural Tab Order). `tabindex=\"-1\"` (Make Element Focusable but Remove from Tab Order). Avoid Positive `tabindex` Values. Focus Management"
"When should you use the `lang` attribute?", "Always use `lang` attribute on the `<html>` element to declare the primary language. Use on sections or elements with different language."
"What are the best practices for using the `lang` attribute?", "`<html>` Language Declaration (Essential). Language Subsections. Consistent Language Tags"
"When should you use the `dir` attribute (text directionality)?", "Use `dir` attribute primarily for right-to-left (RTL) languages. Set `dir=\"rtl\"`."
"What are the best practices for using the `dir` attribute?", "RTL Language Support (Essential). Content Sections. Logical Properties in CSS"
"When should you use the `rel` attribute on `<link>` and `<a>` elements?", "Use `rel` attribute on `<link>` and `<a>` to define the relationship between the current document and the linked resource."
"What are some best practices for using the `rel` attribute?", "`<link rel=\"stylesheet\">` (Stylesheet Linking - Essential). `<link rel=\"icon\">` (Favicon - Common). `<link rel=\"canonical\">` (SEO). `<a rel=\"nofollow\">` (SEO). `<a rel=\"noopener\">` and `<a rel=\"noreferrer\">` (Security & Privacy). Refer to HTML Specification."
"When should you use the `href` attribute on `<a>` and `<link>` elements?", "Always use `href` attribute on `<a>` and `<link>` to specify the destination URL."
"What are some best practices for using the `href` attribute?", "Valid URLs. Meaningful URLs. Protocol Consideration (HTTPS)"
"When should you use the `target` attribute on `<a>` elements?", "Use `target` attribute on `<a>` to specify where the linked resource should be displayed."
"What are the best practices and considerations for using the `target` attribute?", "`target=\"_blank\"` (New Tab - Use Carefully). `rel=\"noopener noreferrer\"` with `target=\"_blank\"` (Security & Privacy - Essential). Default `_self` (Same Tab - Often Preferred). `base target` (Less Common)"
"When should you use the `value` attribute on form elements?", "Use `value` attribute on form elements to set the initial or current value."
"What are the best practices for using the `value` attribute?", "Initial Input Value. Button Text. `<option>` Value (Crucial for Forms). Dynamic Updates (JavaScript)"
"When is the `name` attribute essential for form controls?", "Always use `name` attribute on form controls that are intended to be submitted as part of a form."
"What are the best practices for using the `name` attribute?", "Server-Side Identification. Meaningful Names. Uniqueness (Within Form)"
"When should you use the `disabled` attribute?", "Use `disabled` attribute to disable form controls or other interactive elements."
"What are the best practices for using the `disabled` attribute?", "Form Validation and Control Flow. Visual Indication (Pair with CSS). JavaScript Enablement/Disablement"
"When should you use inline event handler attributes (e.g., `onclick`)?", "Use event handler content attributes sparingly and with caution. Consider JavaScript event listeners."
"What are the best practices and considerations for using inline event handler attributes?", "Simple Isolated Interactions (Limited Use). Maintainability Issues (Inline JavaScript). Accessibility Concerns (Inline JavaScript). JavaScript Event Listeners (Preferred for Most Cases)"
"What is the primary objective of the HTML Element Generation Ruleset for AI Agents?", "To guide AI agents in generating semantically correct accessible well-structured performant and maintainable HTML markup using non-deprecated elements."
"What is the core principle for selecting HTML elements?", "Always prioritize using semantic HTML5 elements that accurately describe the *meaning* and *purpose* of the content."
"How should you structure content within an HTML document?", "Utilize semantic sectioning elements (`<header>`, `<nav>`, `<main>`, `<article>`, `<section>`, `<aside>`, `<footer>`)."
"How should you use heading elements (`<h1>` - `<h6>`)?", "Employ heading elements to create a clear and logical heading hierarchy."
"When should you use `<p>` elements?", "Use `<p>` elements to wrap blocks of standard text content."
"When should you use list elements (`<ul>`, `<ol>`, `<dl>`)?", "Use semantic list elements appropriately for presenting *lists* of items."
"How should you semantically group media content with captions?", "Use `<figure>` and `<figcaption>` elements."
"How do you create accessible forms?", "Always associate form controls with `<label>` elements. Use ARIA attributes when needed."
"What is the essential attribute for making images accessible?", "Always provide meaningful `alt` text for `<img>` elements using the `alt` attribute."
"How do you create accessible links?", "Write clear and meaningful link text for `<a>` elements."
"How do you create accessible tables?", "Structure tables semantically using `<table>`, `<thead>`, `<tbody>`, `<tfoot>`, `<tr>`, `<th>`, and `<td>`. Use `<caption>`."
"What should you include when embedding `<audio>` and `<video>` elements?", "Always include `controls` attribute. Provide captions/transcripts for accessibility. Consider `<track>`."
"When should you use ARIA attributes, and what is the relationship to semantic HTML?", "Use ARIA to enhance accessibility only when semantic HTML is insufficient. Do not overuse ARIA. Prioritize semantic HTML."
