question,answer
"What is the main objective of extending the TypeScript Variable Declaration Ruleset to include Destructuring?", "To guide AI agents in effectively utilizing destructuring (objects arrays tuples) for improved readability conciseness efficiency and maintainability in TypeScript code."
"When should you use object destructuring?", "Utilize object destructuring to concisely extract properties from objects when accessing multiple properties within a specific scope."
"Give a code example of object destructuring in function parameters.", "```typescript\ninterface User {\n  id: number;\n  name: string;\n  email: string;\n}\n\nfunction displayUserInfo({ name, email }: User): void { // Object destructuring\n  console.log(`Name: ${name}, Email: ${email}`);\n}\n```"
"When should you use array destructuring?", "Use array destructuring to concisely extract elements from arrays when accessing elements by their *index* particularly for small fixed-size arrays."
"Give a code example of array destructuring.", "```typescript\nfunction getCoordinates(): [number, number] {\n  return [10, 20];\n}\n\nconst [x, y] = getCoordinates(); // Array destructuring\nconsole.log(`X: ${x}, Y: ${y}`);\n```"
"When is tuple destructuring particularly important and why?", "Utilize tuple destructuring *extensively* when working with tuples. It's the idiomatic and best practice approach enforcing structure and type-safe access."
"Give a code example of tuple destructuring.", "```typescript\ntype StatusResult = [boolean, string | null];\n\nfunction processTask(): StatusResult {\n  return [true, \"Task completed successfully\"];\n}\n\nconst [success, message] = processTask(); // Tuple destructuring\n```"
"When should you rename properties during object destructuring?", "Use property renaming in object destructuring when necessary to provide more contextually relevant or descriptive variable names in the current scope."
"Give a code example of renaming properties during object destructuring.", "```typescript\ninterface ApiUserData {\n  user_name: string;\n  email_address: string;\n}\n\nfunction processApiData(apiData: ApiUserData): void {\n  const { user_name: displayName, email_address: userEmail } = apiData; // Renaming\n  console.log(`Display Name: ${displayName}, Email: ${userEmail}`);\n}\n```"
"How do you handle optional or potentially missing properties/elements during destructuring?", "Utilize default values in destructuring (e.g. `{ propertyName = defaultValue }`, `[elementVariable = defaultValue]`)."
"Give a code example of using default values in object destructuring.", "```typescript\ninterface ProductConfig {\n  discountPercentage?: number;\n  taxRate?: number;\n  shippingCost: number;\n}\n\nfunction calculateFinalPrice(config: ProductConfig): number {\n  const { discountPercentage = 0, taxRate = 0, shippingCost } = config; // Default values\n  // ... calculation logic ...\n}\n```"
"How do you selectively destructure, ignoring unneeded values?", "Use selective destructuring (ignoring unneeded properties or elements using `,` comma placeholders and omitting variable names)."
"Give a code example of selective destructuring, ignoring an unneeded array element.", "```typescript\nfunction processApiResponse(): [number, string, any] {\n  return [200, \"Success\", { data: ... }];\n}\n\nconst [status, message, /* data */ ] = processApiResponse(); // Ignore 'data'\n```"
"What should you avoid when using destructuring, concerning complexity?", "Avoid overly complex or deeply nested destructuring patterns in a single statement if they reduce readability."
"Create a checklist for AI Agents for verifying best practices in variable declaration and destructuring","[ ] `const` by Default (Prioritized incl. Destructuring): Is `const` used as default for variable declarations *including* variables created via destructuring (and `let` only when mutability is truly required)?\n[ ] `var` Forbiddden (No `var` in Destructuring also): Is `var` keyword completely avoided even within destructuring contexts?\n[ ] Block Scoping ( `let` & `const` in Smallest Scopes - Applies to Destructured Variables): Are `let` and `const` declarations (including destructured variable declarations) used within the smallest necessary scope (block scope)?\n[ ] Initialization at Declaration (Preferred - Destructuring): Are variables initialized at declaration including those initialized via destructuring for improved readability?\n[ ] Explicit Type Annotations (Destructured Variables & Functions): Are explicit type annotations used for destructured variables especially in function signatures and for non-primitive or complex destructured types?\n[ ] Descriptive Variable Names (Destructured Variables also): Are descriptive and meaningful variable names used including for variables created through destructuring to clearly indicate their purpose?\n[ ] CamelCase Naming (Destructured Variables): Is camelCase naming consistently followed for *destructured variable names*?\n[ ] No Variable Shadowing (Destructured Variables also): Is variable shadowing avoided even when naming destructured variables within scopes?\n[ ] Principle of Least Scope (Destructured Variables): Is the principle of least scope applied to destructured variables declaring them in the smallest possible scope of use?\n[ ] `for...of` Loops for Iterables (Iteration & Destructuring Context): Are `for...of` loops preferred for simple iterable iteration even when working with destructured elements within loops?\n[ ] Global Scope Variables Minimized (No Globals via Destructuring either): Is global scope variable declaration minimized ensuring destructured variables are also not inadvertently declared globally?\n[ ] Object Destructuring for Concise Property Access (When Multiple Properties Used): Is object destructuring used effectively to concisely access *multiple* object properties within a scope improving readability?\n[ ] Array Destructuring for Indexed Element Extraction (Small Arrays): Is array destructuring used appropriately to concisely extract elements from *small* fixed-size arrays by index for improved clarity over numerical index access?\n[ ] Tuple Destructuring for Fixed-Size Structures (Mandatory for Tuples): Is tuple destructuring *always used* when working with tuples to access tuple elements based on their position enforcing tuple structure?\n[ ] Property Renaming in Object Destructuring (Clarity-Driven): Is property renaming in object destructuring used *judiciously* and *only* when it genuinely improves contextual clarity or avoids naming conflicts?\n[ ] Default Values in Destructuring (Optional & Missing Handling): Are default values in destructuring utilized to gracefully handle optional or potentially missing properties or array elements improving robustness?\n[ ] Selective Destructuring (Ignore Unused Values): Is selective destructuring used to intentionally ignore unneeded properties or array elements improving code conciseness and focus?\n[ ] Avoid Overly Complex/Deep Destructuring (Readability Prioritized): Is overly complex or deeply nested destructuring avoided if it compromises code readability? Is code clarity always prioritized over extreme destructuring verbosity?"
"What is the primary objective of the TypeScript Symbol Generation Ruleset?", "To guide AI agents in generating high-quality purposeful readable and maintainable TypeScript code that effectively and appropriately utilizes Symbols."
"When should you primarily use Symbols in TypeScript?", "Utilize Symbols primarily when you need to create *unique identifiers* or ensure *guaranteed key uniqueness*."
"When are Symbols semantically more appropriate as property keys?", "Use Symbols as property keys when non-string based keys are semantically more appropriate or technically advantageous."
"How do Symbols relate to controlled access (privacy) in TypeScript?", "Employ Symbols to create properties that are *less discoverable* and *less likely to be accidentally accessed*. Not true privacy, but privacy by convention."
"How do you create unique, local Symbols?", "Use `Symbol()` (invoking the `Symbol` constructor without `for` argument)."
"When should you use `Symbol.for()`?", "Use `Symbol.for('key')` when you need to create or retrieve Symbols from the *global Symbol registry* (shared Symbols)."
"Why are descriptive Symbol descriptions recommended?", "Provide descriptive string descriptions as the argument to `Symbol()` or `Symbol.for()` for debugging readability and documentation."
"How do you declare and access Symbol-keyed properties?", "Declare and access Symbol-keyed properties using *bracket notation* with a Symbol variable as the key."
"When should you utilize well-known Symbols?", "Utilize well-known Symbols when you need to customize or implement standard JavaScript/TypeScript language behaviors."
"What kind of variable names should you use for variables holding Symbol values?", "Use descriptive and meaningful variable names for variables that hold Symbol values."
"How should you manage the scope and visibility of Symbol variables intended for internal use?", "Declare Symbol variables in a private scope or in a way that clearly signals their internal or non-public intended usage."
"Should Symbols be used as a general-purpose replacement for string keys?", "Use Symbols judiciously and intentionally only when their unique properties provide a clear benefit. Do not overuse."
"Should Symbol-keyed properties be used in public APIs or DTOs?", "Avoid using Symbol-keyed properties in public APIs or Data Transfer Objects (DTOs). String keys for interoperability."
